"call_number","creator","date","description","headerImage","identifier","subject","title"
"80393","Lang, Andrew, 1844-1912,Ford, H. J. (Henry Justice), 1860-1941, ill","1907-00-00T00:00:00Z","","","olivefairybook00lang","Fairy tales,Folklore","The olive fairy book"
"","Burnett, Frances Hodgson, 1849-1924","","","","oneiknewbestofal00burn","Burnett, Frances Hodgson, 1849-1924,Authors, American -- 19th century","The one I knew the best of all : a memory of the mind of a child"
"","Hall, Alice Marples","1903-00-00T00:00:00Z","","","onestrandriverot00hall","Fairy tales, English","The one strand river, and other fairy tales"
"srlf_ucla:LAGE-2489762","Goodridge, J. F","","Quarter mauve cloth and illustrated off white paper over boards. Inscription dated 1878 on upper free endpaper","","originalmothergo00goodiala","Nursery rhymes,Children's poetry","The original Mother Goose melodies"
"srlf_ucla:LAGE-1775959","Hughs, Mrs. (Mary)","","Green fine diagonal rib grain cloth over boards, embossed; spine blocked in gold; yellow coated endpapers","","ornamentsdiscsto00hughiala","Moral education,Orphans","The ornaments discovered : a story"
"srlf_ucla:LAGE-1775960","Hughs, Mrs. (Mary)","1833-00-00T00:00:00Z","Publisher's printed, illustrated buff paper over boards; publisher's advertisement on lower board. Re-backed","","ornamentsdiscov00hughiala","Moral education,Orphans","The ornaments discovered : a story founded on facts"
"srlf_ucla:LAGE-1775969","Hughs, Mrs. (Mary)","1815-00-00T00:00:00Z","Quarter blue-black sheep and brown paper over boards; spine tooled in gold","","ornamentsdiscove00hughiala","Moral education,Orphans","The ornaments discovered : a story, in two parts"
"srlf_ucla:LAGE-2562982","Cogger, Edward P","","Publisher's printed yellow wrappers; upper wrapper printed in black and red; publisher's advertisement on lower wrapper","","orphangirl00coggiala","Orphans,Children's prose poems","The orphan girl"
"srlf_ucla:LAGE-2563003","","1830-00-00T00:00:00Z","Marbled paper over boards, rebacked in brown paper","","orphanschoicetal00londiala","Orphans","The orphan's choice : a tale"
"","Fanny, Aunt, 1822-1894","1863-00-00T00:00:00Z","","","orphanshomemitte00fann","Children's stories, American,United States -- History Civil War, 1861-1865 Military, 1862, Feb. 8 Roanoke Island","The orphan's home mittens; and George's account of the battle of Roanoke Island"
"srlf_ucla:LAGE-1298153","Fanny, Aunt, 1822-1894,Bobbett & Hooper,Annin, Phineas F,Bobbett, Albert, ca. 1824-1888 or 9,Jocelyn, Albert H,Whitney, Elias James, b. 1827","","Violet pebble-grain cloth over boards, blocked in gold and blind","","orphanshomemitte00fanniala","Orphans,Roanoke Island (N.C.) -- History Capture, 1862 Juvenile literature,United States -- History Civil War, 1861-1865 Campaigns Juvenile literature","The orphan's home mittens; and George's account of the battle of Roanoke Island : being the sixth and last book of the series"
"srlf_ucla:LAGE-2563001","","","The orphans -- The affectionate mother, or, The orphan boy","","orphansalsoorpha00leediala","Orphans","The orphans : also The orphan boy"
"","Fraser, William Alexander, 1859-1933","1901-00-00T00:00:00Z","","","outcasts00fras","Animals","The outcasts"
"","Hope, Laura Lee","","","","outdoorgirlsatbl00hope","Children's stories, American","The Outdoor girls at Bluff Point; or, A wreck and a rescue"
"","Hope, Laura Lee","","","","outdoorgirlsatra00hope","","The outdoor girls at Rainbow Lake : or, The stirring cruise of the motor boat Gem"
"","Hope, Laura Lee","","","","outdoorgirlsinmo00hope","","The outdoor girls in a motor car; or, The haunted mansion of Shadow Valley"
"","Hope, Laura Lee","","","","outdoorgirlsinar00hope","","The Outdoor Girls in army service, or, Doing their bit for the soldier boys"
"","Hope, Laura Lee","","","","outdoorgirlsinfl00hope","Florida -- Fiction","The outdoor girls in Florida: or, wintering in the sunny south"
"","Hope, Laura Lee","","","","outdoorgirlsonpi00hope","","The outdoor girls on Pine Island : or, A cave and what it contained"
"","Eulalie Osgood Grover","","","","groover","","The Overall Boys in Switzerland"
"","","","","","UF00001870","Printed boards (Binding),Pictorial cloth bindings (Binding),lcsh,Children's poetry,rbgenr,Juvenile poetry,rbbin 655/7: 7:,Bible stories, English,Parables,Publishers' advertisements,Jesus Christ","The Parables of the Saviour"
"srlf_ucla:LAGE-1263583","Edgeworth, Maria, 1767-1849","1800-00-00T00:00:00Z","v. 1. Lazy Lawrence, Tarlton, False key--v. 2. The birthday present, Simple Susan--v. 3. The bracelets, The little merchants--v. 4. Old Poz the mimic, Mademoiselle Panache--v. 5. The basket-woman, The white pigeon, The orphans, Waste not want not, Forgive and forget--v. 6. The barring out, Eton Montem","","parentsassistant03edgeiala","Conduct of life,Children's stories, English","The parent's assistant, or, Stories for children"
"srlf_ucla:LAGE-1263583","Edgeworth, Maria, 1767-1849","1800-00-00T00:00:00Z","v. 1. Lazy Lawrence, Tarlton, False key--v. 2. The birthday present, Simple Susan--v. 3. The bracelets, The little merchants--v. 4. Old Poz the mimic, Mademoiselle Panache--v. 5. The basket-woman, The white pigeon, The orphans, Waste not want not, Forgive and forget--v. 6. The barring out, Eton Montem","","parentsassistant05edgeiala","Conduct of life,Children's stories, English","The parent's assistant, or, Stories for children"
"srlf_ucla:LAGE-1263583","Edgeworth, Maria, 1767-1849","1800-00-00T00:00:00Z","v. 1. Lazy Lawrence, Tarlton, False key--v. 2. The birthday present, Simple Susan--v. 3. The bracelets, The little merchants--v. 4. Old Poz the mimic, Mademoiselle Panache--v. 5. The basket-woman, The white pigeon, The orphans, Waste not want not, Forgive and forget--v. 6. The barring out, Eton Montem","","parentsassistant01edgeiala","Conduct of life,Children's stories, English","The parent's assistant, or, Stories for children"
"srlf_ucla:LAGE-1263583","Edgeworth, Maria, 1767-1849","1800-00-00T00:00:00Z","v. 1. Lazy Lawrence, Tarlton, False key--v. 2. The birthday present, Simple Susan--v. 3. The bracelets, The little merchants--v. 4. Old Poz the mimic, Mademoiselle Panache--v. 5. The basket-woman, The white pigeon, The orphans, Waste not want not, Forgive and forget--v. 6. The barring out, Eton Montem","","parentsassistant02edgeiala","Conduct of life,Children's stories, English","The parent's assistant, or, Stories for children"
"srlf_ucla:LAGE-1263583","Edgeworth, Maria, 1767-1849","1800-00-00T00:00:00Z","v. 1. Lazy Lawrence, Tarlton, False key--v. 2. The birthday present, Simple Susan--v. 3. The bracelets, The little merchants--v. 4. Old Poz the mimic, Mademoiselle Panache--v. 5. The basket-woman, The white pigeon, The orphans, Waste not want not, Forgive and forget--v. 6. The barring out, Eton Montem","","parentsassistant04edgeiala","Conduct of life,Children's stories, English","The parent's assistant, or, Stories for children"
"srlf_ucla:LAGE-1263583","Edgeworth, Maria, 1767-1849","1800-00-00T00:00:00Z","v. 1. Lazy Lawrence, Tarlton, False key--v. 2. The birthday present, Simple Susan--v. 3. The bracelets, The little merchants--v. 4. Old Poz the mimic, Mademoiselle Panache--v. 5. The basket-woman, The white pigeon, The orphans, Waste not want not, Forgive and forget--v. 6. The barring out, Eton Montem","","parentsassistant06edgeiala","Conduct of life,Children's stories, English","The parent's assistant, or, Stories for children"
"","Edgeworth, Maria, 1767-1849","1844-00-00T00:00:00Z","","","parentsassistant00edge3","","The parent's assistant; or, Stories for children"
"","Edgeworth, Maria, 1767-1849,Anderson, Alexander, 1775-1870","1820-00-00T00:00:00Z","","","parentsassistant02edge","Children's stories, English","The parent's assistant; or, Stories for children .."
"","Edgeworth, Maria, 1767-1849","","","","parentsassistant01edge","Children's stories, English","The parent's assistant; or, Stories for children .."
"srlf_ucla:LAGE-2579207","","","The frontispiece is hand colored","","parentsgiftortra00londiala","World maps","The Parent's gift, or, Traits and characters of various nations : interspersed with geographical remarks adapted to the juvenile part of mankind, and ornamented with many beautiful engravings"
"srlf_ucla:LAGE-554071","Barnard, Caroline,Corbould, H. (Henry), 1787-1844,Springsguth, Samuel,Edgeworth, Maria, 1767-1849","1813-00-00T00:00:00Z","Quarter green sheep and buff marbled paper over boards; green sprinkled edges","","parentsofferingo01barniala","Children's stories","The parent's offering, or, Tales for children"
"srlf_ucla:LAGE-554071","Barnard, Caroline,Corbould, H. (Henry), 1787-1844,Springsguth, Samuel,Edgeworth, Maria, 1767-1849","1813-00-00T00:00:00Z","Quarter green sheep and buff marbled paper over boards; green sprinkled edges","","parentsofferingo02barniala","Children's stories","The parent's offering, or, Tales for children"
"srlf_ucla:LAGE-2579220","","","Osborne collection of early children's books","","parentspresentto00londiala","Children's poetry,Family","The parents' present to their happy family : containing the poems of my father, mother, sister and brother, in imitation of Cowper's Mary"
"srlf_ucla:LAGE-2724719","","","Illustration on p. [1] is hand-colored","","partinggift00glasiala","Christian life","The parting gift"
"srlf_ucla:LAGE-2726019","","","Publisher's printed orange wrappers; illustrated upper wrapper printed in black and orange; publisher's advertisement on lower wrapper, including list of 12 titles in new ""Mother's series""","","passionatechild00nymciala","Temper tantrums,Discipline of children,Children -- Conduct of life","The passionate child"
"srlf_ucla:LAGE-1244427","Dorset, Catherine Ann Turner, 1750?-1817?,Roscoe, William, 1753-1831","1824-00-00T00:00:00Z","Green calf over boards tooled in gold. Tooled on spine on plum calf: Emperor's rout, Peacock at home, Butterfly's ball","","peacockathome00dorsiala","Animals,Birds,Insects","The peacock ""at home"""
"srlf_ucla:LAGE-1244426","Dorset, Catherine Ann Turner, 1750?-1817?,Roscoe, William, 1753-1831,Mulready, William, 1786-1863","1838-00-00T00:00:00Z","Moon, M. John Harris's books","","peacockathomebya00dorsiala","Royal Surrey Zoological Gardens,Animals,Birds,Insects","The peacock ""at home"""
"srlf_ucla:LAGE-1244430","Dorset, Catherine Ann Turner, 1750?-1817?,Roscoe, William, 1753-1831","1815-00-00T00:00:00Z","Gumuchian","","peacockathomea00dorsiala","Birds","The peacock ""at home"" : a sequel to the butterfly's ball"
"srlf_ucla:LAGE-1110589","Dorset, Catherine Ann Turner, 1750?-1817?,Mulready, William, 1786-1863","1807-00-00T00:00:00Z","The illustrations are hand-colored","","peacockathomeseq00dorsiala","Animals","The peacock ""at home""; a sequel to The butterfly's ball"
"srlf_ucla:LAGE-1244424","Dorset, Catherine Ann Turner, 1750?-1817?,Roscoe, William, 1753-1831","","Tan stiff wrappers","","peacockathomebut00dorsiala","Royal Surrey Zoological Gardens,Animals,Birds,Insects","The peacock ""at home,"""
"srlf_ucla:LAGE-2730166","Mulready, William, 1786-1863,Dorset, Catherine Ann Turner, 1750?-1817?","1816-00-00T00:00:00Z","Spec. Coll. copy 1: Green printed wrappers. Ex libris Olive Percival","","peacockparrotont00mulriala","Children's poetry","The Peacock and parrot on their tour to discover the author of ""The peacock at home"" : illustrated with engravings"
"","Ingraham, Corinne, 1887-","","","","peacockwishingfa00ingr","","The peacock and the wishing-fairy and other stories"
"","","1851-00-00T00:00:00Z","","","UF00001797","Nature,Juvenile fiction,Children's stories,Love,Moral tales,local","The pearl box"
"","Kavanagh, Bridget,Kavanagh, Julia, 1824-1877,Smith, J. Moyr","1876-00-00T00:00:00Z","","","pearlfountainoth00kava","Fairy tales","The pearl fountain, and other fairy tales"
"","Colman","","","","UF00001822","Nature,Juvenile poetry,Juvenile fiction,Kindness,Love,Embossed cloth bindings (Binding)","The pearl story book"
"","(Francis Channing)","1851-00-00T00:00:00Z","","","UF00001874","Pictorial cloth bindings (Binding),Conduct of life,Boys,Juvenile literature,Publishers' advertisements","The peddler's boy, or, I'll be somebody"
"","Follen, Eliza Lee Cabot, 1787-1860","1856-00-00T00:00:00Z","","","pedlerofduststic00foll","","The pedler of dust sticks"
"srlf_ucla:LAGE-732070","Bishop, James","","Publisher's blue printed wrappers; publisher's advertisements on lower wrapper","","pencetableinvers00bishiala","Money -- Great Britain","The pence table, in verse, or, A pleasing way of inducing children to commit to memory the first rudiments of arithmetic"
"srlf_ucla:LAGE-2734300","Kidder, Daniel P. (Daniel Parish), 1815-1891","1851-00-00T00:00:00Z","Quarter red roan and marbled paper over boards. Ex libris Olive Percival. Inscription in ink on upper free endpaper","","penitentboyorsin00kiddiala","Truthfulness and falsehood,Repentance","The Penitent boy; or, Sin brings sorrow"
"srlf_ucla:LAGE-3011283","Sandham, Elizabeth","1816-00-00T00:00:00Z","Moon, M. Tabart","","perambulations00sandiala","Conduct of life","The perambulations of a bee and a butterfly : in which are delineated those smaller traits of character which escape the attention of larger spectators"
"srlf_ucla:LAGE-3011284","Sandham, Elizabeth","1812-00-00T00:00:00Z","Moon, M. Tabart","","perambulationsof00sandiala","Conduct of life","The perambulations of a bee and a butterfly : in which are delineated those smaller traits of character which escape the attention of larger spectators"
"","Eddy, Daniel C. (Daniel Clarke), 1823-1896","1868-00-00T00:00:00Z","","","percyfamilyalpsr00eddy","","The Percy family. The Alps and the Rhine"
"","Eddy, Daniel C. (Daniel Clarke), 1823-1896","1868-00-00T00:00:00Z","","","percyfamilybalti00eddy","Europe -- Description and travel","The Percy family. The Baltic to Vesuvius"
"srlf_ucla:LAGE-537733","J. B,Bicknell, J. L,Bisset, J. (James), 1762?-1832,Britton, John, 1771-1857","","Moon, M. Harris (1992)","","petlambinrhythmi00jbbiiala","Mnemonics","The pet lamb : in rhythm : intended as an innocent exercise for the memory of children : to which are added, The ladder of learning, and The robin."
"srlf_ucla:LAGE-597947","Bigland, John, 1750-1832","1811-00-00T00:00:00Z","Calf, tooled in gilt","","philosophicalwan00bigliala","Youth -- Conduct of life,Europe -- Intellectual life","The philosophical wanderers; or, The history of the Roman tribune, and the priestess of Minerva: exhibiting the vicissitudes that diversify the fortunes of nations and individuals"
"231702","Callow, Edward,Watson, W. J., ill","","The Phynodderree -- Tom Kewley and the Lannanshee; or, The fairy cup of Kirk Malew -- King Olav the Second and the great sword Macabuin -- The buggane's vow","","phynodderreeothe00call","Tales, Manx,Fairy tales, English","The Phynodderree, and other legends of the Isle of Man"
"srlf_ucla:LAGE-2750177","","1839-00-00T00:00:00Z","Publisher's printed yellow paper over boards; armorial insignia on upper board; publisher's advertisement on lower board","","pictureexhibitio00ediniala","Picture books for children","The picture exhibition : a collection of neat wood-cuts for juvenile amusements"
"srlf_ucla:LAGE-1977582","Johnson, R. (Richard), 1733 or 4-1793","","Quarter green leather and marbled boards; rebacked. Shiers Collection","","pictureexhibiti00johniala","Children's stories,Conduct of life","The picture exhibition : containing the original drawings of eighteen little masters and misses : to which are added moral and historical explanations"
"srlf_ucla:LAGE-1977583","Johnson, R. (Richard), 1733 or 4-1793","","","","pictureexhibitio00johniala","","The picture exhibition : containing the original drawings of eighteen little masters and misses : to which are added, moral and historical explanations"
"srlf_ucla:LAGE-2750179","","1825-00-00T00:00:00Z","Osborne Coll.","","picturegalleryex00londiala","Biography,Manners and customs","The picture gallery explored, or, An account of various ancient customs and manners : interspersed with anecdotes and biographical sketches of eminent persons"
"srlf_ucla:LAGE-2750180","","1801-00-00T00:00:00Z","BM","","picturegalleryfo00londiala","Picture books for children","The Picture gallery for all good boys and girls : beautifully coloured and explained in words of one syllable : exhibition the first"
"srlf_ucla:LAGE-2750183","","1814-00-00T00:00:00Z","Original printed grey wrappers with vignette. In case","","picturegalleryor00londiala","Picture books for children,Children -- Conduct of life,Nursery rhymes","The Picture gallery; or, Peter Prim's portraits of good and bad girls and boys"
"srlf_ucla:LAGE-2572501","Painter, Peter, pseud,Bewick, Thomas, 1753-1828","1804-00-00T00:00:00Z","Hugo, T. Bewick","","pictureroomconta00painiala","Children -- Conduct of life","The picture-room : containing the original drawings of eighteen little masters and misses : to which is added, moral and historical explanations"
"","Browning, Robert, 1812-1889,Dunlap, Hope, ill","","When the Mayor of Hamelin refuses to pay the Pied Piper for ridding Hamelin of rats, the Piper uses his magical pipe to spirit away all the children into an enchanted mountain, never to be seen again","","piedpiperofhamel00brownyctest2","Pied Piper of Hamelin (Legendary character),Legends -- Germany","The Pied Piper of Hamelin : a child's story"
"","Gilbert, W. S. (William Schwenck), 1836-1911,Sullivan, Arthur, Sir, 1842-1900","1908-00-00T00:00:00Z","","","pinaforepictureb00gilb","","The Pinafore picture book: the story of H.M.S. Pinafore"
"srlf_ucla:LAGE-2753184","American Sunday-School Union","","Quarter black sheep and marbled paper over boards. Ex libris Elvah Karshner","","pinkslippersorcu00ameriala","Girls -- Conduct of life,Conduct of life","The Pink slippers, or, Cure of vanity"
"srlf_ucla:LAGE-2754030","","1829-00-00T00:00:00Z","Publisher's printed tan wrappers; vignette on upper wrapper repeats from p. [4]; publisher's advertisement on lower wrapper","","piousgiftconsist00newyiala","Witness bearing (Christianity),Christian life","The pious gift : consisting of A dialogue between two seamen after a storm ; and The wonderful cure of General Naaman"
"srlf_ucla:LAGE-2757921","Cundall, Joseph, 1818-1895,Dalziel, Edward, 1817-1905,Dalziel, Joseph, 1815-1902,Harvey, William, 1796-1866,Mason, W. G,Sedgfield, William Russell, 1826-1902,Warren, Henry, 1794-1879","1847-00-00T00:00:00Z","Green rib grain cloth over boards, blocked in gold; all edges gilt; black leather label on spine","","playmateapleasan00cundiala","Children's stories,Children's poetry","The playmate : a pleasant companion for spare hours"
"srlf_ucla:LAGE-2757922","Cundall, Joseph, 1818-1895,Dalziel, Edward, 1817-1905,Dalziel, George, 1815-1902,Mason, W. G,Warren, Henry, 1794-1879,Harvey, William, 1796-1866,Sedgfield, William Russell, 1826-1902","1847-00-00T00:00:00Z","Half green calf and nonpareil marbled paper over boards; marbled edges","","playmatepleasant00cundiala","Children's stories,Children's poetry","The playmate : a pleasant companion for spare hours"
"srlf_ucla:LAGE-2231310","","","Osborne Coll","","pleasanthistoryo00londiala","","The pleasant history of Jack Horner : containing the witty tricks and pleasant pranks he play'd from his youth to his riper years : pleasant and delightful both for winter and summer recreation"
"srlf_ucla:LAGE-3287699","Teller, Thomas, 1804-1872,Anderson, Alexander, 1775-1870,Purcell, Edward B","","Printed buff and blue wrappers; advertisement on lower wrapper. Ex libris Elvah Karshner. Inscription in ink on upper free endpaper","","pleasantjourneya00telliala","Children -- Conduct of life","The pleasant journey ; and, Scenes in town and country"
"srlf_ucla:LAGE-2758016","Laing, Caroline H. Butler (Caroline Hyde Butler), 1804-1892","","Publisher's blue diaper grain cloth over boards, blocked in blind and gold; pink tinted endpapers","","pleasantreadingb00lainiala","Dummies (Bookselling)","The pleasant reading book with colour'd pictures"
"srlf_ucla:LAGE-2758047","","","Publisher's printed grey wrappers; engraved white paper label mounted on otherwise blank upper wrapper; publisher's advertisement on lower wrapper. In case","","pleasingstoryofp00londiala","Thieves,Retribution","The pleasing story of the poor man and his pig"
"srlf_ucla:LAGE-777030","Budden, Maria Elizabeth, 1780?-1832","1818-00-00T00:00:00Z","Osborne Coll.","","pleasuresoflife00buddiala","Conduct of life,Contentment,Seasons","The pleasures of life"
"srlf_ucla:LAGE-2759424","Whymper, Edward, 1840-1911","","Printed pink wrappers. Ex libris Elvah Karshner","","poacherhisfamily00whymiala","Honesty,Poaching,Theft","The poacher and his family"
"srlf_ucla:LAGE-2759425","","1818-00-00T00:00:00Z","Welch, D.A. Amer. children's books","","poachersdaughter00philiala","Sunday schools,Children -- Conversion to Christianity,Sunday school literature","The poacher's daughter"
"srlf_ucla:LAGE-2760523","","1842-00-00T00:00:00Z","Illustrated printed green wrappers. Inscription in pencil on p. [1]. Ex libris Elvah Karshner","","poeticpresent00nortiala","Children's poetry","The Poetic present"
"srlf_ucla:LAGE-2760547","Hill, Elizabeth","1803-00-00T00:00:00Z","Editor's presentation copy to Mr. Trene on upper free endpaper","","poeticalmonitorc00hilliala","Religious poetry,Conduct of life","The Poetical monitor : consisting of pieces select and original , for the improvement of the young in virtue and piety : intended to succeed Dr. Watt's Divine and moral songs"
"srlf_ucla:LAGE-3250202","Stirling, Walter","1814-00-00T00:00:00Z","Quarter green sheep and hair vein marbled paper over boards; spine tooled in gold; marbled or mottled edges","","poeticalmoralist00stiriala","Children -- Conduct of life,Conduct of life","The poetical moralist : consisting of selections and extracts from the most eminent authors, for the use of young persons"
"srlf_ucla:LAGE-2764714","","1825-00-00T00:00:00Z","Osborne Coll.","","poorchildsfriend00londiala","Conduct of life,Religious life","The poor child's friend : consisting of narratives founded on fact : and religious and moral subjects"
"srlf_ucla:LAGE-2730670","Pearson, Emily Clemens","","Textured brown cloth over boards blocked in blind. Spine blocked in gold. Inscription on upper free endpaper dated 1864. Ex libris Olive Percival. Ex libris Olive May Graves Percival","","poorwhiteorrebel00peariala","African Americans,United States -- History Civil War, 1861-1865 Juvenile literature","The poor white, or, The rebel conscript"
"srlf_ucla:LAGE-738465","Perrault, Charles, 1628-1703,Hall, John H","1828-00-00T00:00:00Z","Publisher's orange illustrated wrappers","","popularstoryofbl00perriala","Curiosity","The popular story of Blue Beard : embellished with neat engravings"
"srlf_ucla:LAGE-2766569","","1817-00-00T00:00:00Z","Quarter red sheep and marbled paper over boards","","portfolioorschoo00londiala","Girls -- Conduct of life","The port folio, or, A school girl's selection"
"799512","Tagore, Rabindranath, 1861-1941","1916-00-00T00:00:00Z","","","postoffice00tago","","The post office"
"srlf_ucla:LAGE-521790","Arthur, T. S. (Timothy Shay), 1809-1885","1877-00-00T00:00:00Z","Royal blue diagonal fine-ribbed cloth over boards, blocked in black, gold and blind. Chromolithographed paper onlay on upper board","","powerofkindnesso00arthiala","Kindness,Animal welfare,Envy,Courage,Honesty,Children's stories","The power of kindness : and other stories : a book for the example and encouragement of the young"
"srlf_ucla:LAGE-2642467","","1814-00-00T00:00:00Z","Quarter red calf and marbled paper over boards. Inscription in pencil on upper free endpaper. Ex libris Olive Percival; and her lamb bookplate","","powerofmusicinwh00londiala","Music, Influence of","The Power of music : in which is shown, by a variety of pleasing and instructive anecdotes, the effects it has on man and animals"
"srlf_ucla:LAGE-2771378","","","Publisher's printed blue wrappers; vignette on upper wrapper repeats from t.p.; publisher's advertisement on lower wrapper","","practicaljokeorc00newyiala","Practical jokes,Skating,Christmas stories","The practical joke, or, The Christmas story of Uncle Ned"
"srlf_ucla:LAGE-2774914","","","Gumuchian","","prettyentertaini00otleiala","","The pretty and entertaining history of Tom Thumb : with his wonderful escape from the cow's belly : adorned with wood cuts"
"srlf_ucla:LAGE-2776503","","","The primrose -- The walk at noon -- To be said on the sea-shore -- Sliding on the ice -- The new doll -- Kind Fanny -- Advice -- The disobedient boys","","primrose00newyiala","Conduct of life","The primrose"
"srlf_ucla:LAGE-2776673","James, T. H., Mrs","","No. 14 in a collection of sixteen, in two slipcases. [Japanese fairy tale collection]","","princesfireflash00jameiala","Brothers,Sibling rivalry,Folklore -- Japan","The Princes Fire-flash & Fire-fade"
"","Otis, James, 1848-1912","","","","princessjoepotte00otis","","The princess and Joe Potter;"
"552950","MacDonald, George, 1824-1905,Smith, Jessie Willcox, 1863-1935, ill","","A little princess is protected by her friend Curdie from the goblin miners who live beneath the castle","","princessgoblin00macd","Fairy tales","The princess and the goblin"
"","Hays, Helen Ashe","","","","princessidleways00hays","","The Princess Idleways : a fairy story"
"","Barry, John D. (John Daniel), 1866-1942","","","","princessmargaret00barr","","The Princess Margarethe"
"srlf_ucla:LAGE-2778974","American Sunday-School Union. Committee of Publication","","Quarter black sheep and shell marbled paper over boards; spine tooled and lettered in gold and numbered: 36","","prodigalson00ameriala","Prodigal son (Parable)","The prodigal son"
"srlf_ucla:LAGE-1493727","Galt, John, 1779-1839,West, Benjamin, 1738-1820,Gallaudet, Edward, 1809-1847","1831-00-00T00:00:00Z","Publisher's quarter red sheep and buff printed paper over boards; publisher's advertisement on lower board","","progressofgenius00galtiala","West, Benjamin, 1738-1820,Painters -- United States","The progress of genius, or, Authentic memoirs of the early life of Benjamin West, Esq. president of the Royal Academy, London"
"srlf_ucla:LAGE-4708649","Hughs, Mrs. (Mary)","","Contemporary brown cloth, blocked in gold and blind. Purchase, Philadelphia Rare Books and Manuscripts, 1998","","proudgirlhumbled00hughiala","Girls -- Conduct of life,Pride and vanity","The proud girl humbled, or, The two school-mates : for little boys and little girls"
"srlf_ucla:LAGE-2231344","Little King John of No-land","1797-00-00T00:00:00Z","Dutch floral paper over boards; rebacked. In slipcase, with spine title: Youth's pocket library, 1797","","proverbsoflittle00littiala","Proverbs, English,Children -- Conduct of life,Didactic literature, English,Children's stories, English","The proverbs of little Solomon : exemplified in pleasing stories, historic anecdotes, and entertaining tales : to which are added moral reflections and poetical applications, to real life"
"srlf_ucla:LAGE-2787804","Sherwood, Mrs. (Mary Martha), 1775-1851,Dorset, Catherine Ann Turner, 1750?-1817?","1840-00-00T00:00:00Z","Cutt, M.N. Mrs. Sherwood","","quadrupedspicnic00sheriala","Animals","The quadrupeds' pic-nic"
"","Gifford, Philip A","","","","quakerschoolmarm00giff","Children's stories, American","The Quaker schoolmarm"
"srlf_ucla:LAGE-1823086","Janvier, Margaret Thomson, 1845-1913","","Inscription in pencil on upper flyleaf: Cora McKay, Dec 25, '85","","queensbodyguards00janviala","Family,Matriarchy","The Queen's body-guard : a story of American life for girls"
"","Janvier, Margaret Thomson, 1845-1913","1883-00-00T00:00:00Z","","","queensbodyguards00janv","Children's stories, American","The queen's body-guard. A story of American life for girls"
"","Laboulaye, Edouard, 1811-1883,Field, Walter Taylor, 1861-1939,Laboulaye, Edouard, 1811-1883","","","","questoffourleave00labo","Children's stories, American","The quest of the four-leaved clover, a story of Arabia;"
"srlf_ucla:LAGE-1781203","Hutchinson, J. R. (John Robert), 1858-1921","1897-00-00T00:00:00Z","Red cloth over boards, blocked in brown, black, and gold, head edge gilt","","questofgoldenpea00hutciala","Boys -- Conduct of life,Adventure and adventurers","The quest of the golden pearl"
"srlf_ucla:LAGE-2794510","Lady","1823-00-00T00:00:00Z","Publisher's printed tan wrappers; woodcut vignette on upper wrapper repeats vignette on t.p.; publisher's advertisement on lower wrapper","","rainbowafterthun00ladyiala","Thunderstorms -- Religious aspects,Lightning -- Moral and ethical aspects,Rainbow -- Religious aspects","The rainbow : after the thunder=storm"
"","Inman, Henry, 1837-1899,Hudson, Charles Bradford","","","","rancheonoxhidest00inma","Indians of North America -- Kansas,Children's literature -- Fiction (American)","The ranche on the Oxhide; a story of boys' and girls' life on the frontier"
"srlf_ucla:LAGE-3435275","Warner, Susan, 1819-1885","","Illustrated green cloth over boards, blocked in black and blind. Spine blocked in gold and black. Inscription on upper free endpaper","","rapidsofniagara00warniala","Children's stories,Niagara Falls (N.Y.) -- Juvenile literature","The rapids of Niagara"
"srlf_ucla:LAGE-2799402","","1800-00-00T00:00:00Z","","","rationalexhibiti00londiala","","The Rational exhibition for children"
"","Edgar Allen Poe","","","","poerave","","The Raven"
"srlf_ucla:LAGE-809496","Cameron, Mrs. (Lucy Lyttelton), 1781-1858","","Publisher's blue printed stiff wrappers; advertisement on lower wrapper. Spine reinforced with gilt paper. Added wrappers","","ravendove00cameiala","Brothers and sisters,Children -- Conduct of life,Christian life","The raven and the dove"
"srlf_ucla:LAGE-557049","Barth, Christian Gottlob, 1799-1862","","","","ravensfeathersto00bartiala","","The raven's feather : a story for children"
"srlf_ucla:LAGE-1775964","Hughs, Mrs. (Mary)","1821-00-00T00:00:00Z","Quarter red sheep and marbled paper over boards; spine tooled in gold","","rebelliousschool00hughiala","Girls -- Conduct of life,Conduct of life","The rebellious school-girl : a tale"
"srlf_ucla:LAGE-2803585","","","Osborne Coll.","","recluseoroldbrii00londiala","Castaways,Children's stories","The Recluse, or, Old Briitsh [sic] officer and his faithful servant : an interesting tale for youth"
"srlf_ucla:LAGE-2803586","","1820-00-00T00:00:00Z","Gumuchian","","recluseoroldfath00londiala","Conduct of life","The Recluse, or, Old Father Green-Mantle, and Little Frank Miller : interspersed with passages from the sacred history, calculated to improve and entertain the juvenile mind : ornamented with four copper plates"
"srlf_ucla:LAGE-3044047","Semple, Elizabeth, fl. 1804-1816,Sandham, Elizabeth","1802-00-00T00:00:00Z","Osborne Coll.","","redbooktheblack00sempiala","Conduct of life","The red book, and the black one"
"","Ballantyne, R. M. (Robert Michael), 1825-1894","1883-00-00T00:00:00Z","","","redericorwhalers00ball","Children's stories, English","The Red Eric; or, The whaler's last cruise. A tale"
